"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Askinosie,Cortes,0.7,U.S.A.,3.75,Trinitario,Honduras
Askinosie,Davao,0.77,U.S.A.,3.75,Trinitario,Philippines
Askinosie,Xoconusco,0.75,U.S.A.,2.5,Trinitario,Mexico
Askinosie,San Jose del Tambo,0.7,U.S.A.,3.0,Forastero (Arriba),Ecuador
Bahen & Co.,Houseblend,0.8,Australia,3.25, , 
Bahen & Co.,Papua New Guinea,0.7,Australia,3.5, ,Papua New Guinea
Bahen & Co.,Sambirano,0.7,Australia,3.0,Trinitario,Madagascar
Bahen & Co.,Bahia,0.7,Australia,2.5, ,Brazil
Bahen & Co.,Houseblend,0.7,Australia,2.5,Blend, 
Bakau,"Bambamarca, 2015",0.7,Peru,2.75, ,Peru
Bakau,"Huallabamba, 2015",0.7,Peru,3.5, ,Peru
Bar Au Chocolat,Bahia,0.7,U.S.A.,3.5, ,Brazil
Bar Au Chocolat,Maranon Canyon,0.7,U.S.A.,4.0,Forastero (Nacional),Peru
Bar Au Chocolat,Duarte Province,0.7,U.S.A.,3.25, ,Dominican Republic
Bar Au Chocolat,Chiapas,0.7,U.S.A.,3.5, ,Mexico
Bar Au Chocolat,Sambirano,0.7,U.S.A.,3.75,Trinitario,Madagascar
Baravelli's,single estate,0.8,Wales,2.75, ,Costa Rica
Batch,"Dominican Republic, Batch 3",0.65,U.S.A.,3.5, ,Domincan Republic
Batch,Brazil,0.7,U.S.A.,3.75, ,Brazil
Batch,Ecuador,0.65,U.S.A.,3.25, ,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",0.73,U.K.,3.0, ,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",0.72,U.K.,3.25, ,Malaysia
Beehive,"Brazil, Batch 20316",0.8,U.S.A.,2.75, ,Brazil
Beehive,"Dominican Republic, Batch 31616",0.7,U.S.A.,2.75, ,Domincan Republic
Beehive,"Ecuador, Batch 31516",0.7,U.S.A.,2.75, ,Ecuador
Beehive,Ecuador,0.9,U.S.A.,2.75, ,Ecuador
Belcolade,Costa Rica,0.64,Belgium,2.75, ,Costa Rica
Belcolade,Papua New Guinea,0.64,Belgium,2.75, ,Papua New Guinea
Belcolade,Peru,0.64,Belgium,2.75, ,Peru
Belcolade,Ecuador,0.71,Belgium,3.5, ,Ecuador
Bellflower,"Kakao Kamili, Kilombero Valley",0.7,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Bellflower,"Alto Beni, Palos Blanco",0.7,U.S.A.,3.25, ,Bolivia
Bellflower,"Oko Caribe, Duarte P.",0.7,U.S.A.,3.5, ,Domincan Republic
Belyzium,"Belize south, low fermentation",0.83,Germany,2.75,Trinitario,Belize
Belyzium,Belize south,0.78,Germany,3.0,Trinitario,Belize
Belyzium,Belize south,0.83,Germany,3.5,Trinitario,Belize
Benoit Nihant,Baracoa,0.74,Belgium,3.5,Trinitario,Cuba
Benoit Nihant,Chuao,0.74,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,0.74,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Rio Peripa H.,0.73,Belgium,4.0,Trinitario,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",0.72,Belgium,4.0,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",0.72,Belgium,3.75,Trinitario,Madagascar
Bernachon,Nature,0.55,France,2.75, , 
Beschle (Felchlin),Madagascar,0.64,Switzerland,3.0,Trinitario,Madagascar
Beschle (Felchlin),Maracaibo,0.88,Switzerland,3.0,Criollo,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",0.72,Switzerland,3.5, ,Venezuela
Beschle (Felchlin),Ecuador,0.72,Switzerland,4.0, ,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",0.7,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",0.74,Switzerland,3.25,Criollo (Porcelana),Venezuela
Beschle (Felchlin),"Java, Grand Cru",0.64,Switzerland,3.5, ,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",0.72,Switzerland,3.5, ,Venezuela
Bisou,"Nicaragua, American style",0.76,U.S.A.,2.5, ,Nicaragua
Bisou,"San Andres, American style",0.76,U.S.A.,2.5, ,Costa Rica
Bisou,"San Andres, silk",0.78,U.S.A.,2.5, ,Costa Rica
Bisou,Belize,0.86,U.S.A.,3.25,Trinitario,Belize
Bittersweet Origins,Ghana,0.72,U.S.A.,3.5,Forastero,Ghana
Bittersweet Origins,"Bali, Singaraja",0.75,U.S.A.,3.25, ,Indonesia
Bittersweet Origins,2009 Hapa Nibby,0.7,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",0.65,U.S.A.,2.75, ,Indonesia
Bittersweet Origins,"Sambirano, 2009",0.7,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,"Ocumare, prototype",0.78,U.S.A.,3.0,Criollo,Venezuela
Bittersweet Origins,Puerto Plata,0.75,U.S.A.,3.0, ,Dominican Republic
Bittersweet Origins,Puerto Plata,0.65,U.S.A.,3.5, ,Dominican Republic
Bittersweet Origins,Sambirano,0.75,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,Sambirano,0.65,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,0.71,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,0.75,U.S.A.,3.5, ,Panama
Bittersweet Origins,Puerto Plata,0.68,U.S.A.,3.75, ,Dominican Republic
Bittersweet Origins,Ankasa,0.7,U.S.A.,3.0,Forastero,Ghana
Black Mountain,La Red,0.7,U.S.A.,2.75, ,Dominican Republic
Black Mountain,Carenero Superior,0.7,U.S.A.,2.75,Trinitario,Venezuela
Black Mountain,Matiguas,0.7,U.S.A.,3.0, ,Nicaragua
Black River (A. Morin),Blue Mountain Region,0.7,U.K.,2.75,Trinitario,Jamaica
Blanxart,"Congo, Grand Cru",0.82,Spain,3.5,Forastero,Congo
Blanxart,Organic Dark,0.72,Spain,2.75, , 
Blue Bandana,"Akesson's E., Sambirano V.",0.82,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Lachua,0.75,U.S.A.,2.75, ,Guatemala
Blue Bandana,Kokoa Kamili,0.75,U.S.A.,3.5, ,Tanzania
Blue Bandana,Zorzal Reserva,0.75,U.S.A.,3.0, ,Dominican Republic
Blue Bandana,Guatemala,0.7,U.S.A.,3.5, ,Guatemala
Blue Bandana,Madagascar,0.7,U.S.A.,3.75,Trinitario,Madagascar
Bonnat,Selva Maya,0.75,France,3.5, ,Mexico
Bonnat,Kaori,0.75,France,4.0, ,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",0.75,France,3.25, ,Dominican Republic
Bonnat,Surfin,0.65,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,0.75,France,3.5, ,Brazil
Bonnat,Gabon,0.75,France,3.25, ,Gabon
Bonnat,Cuba,0.75,France,3.5,Trinitario,Cuba
Bonnat,"Cusco, Cacao Cusco",0.75,France,3.5, ,Peru
Bonnat,Piura Blanco,0.75,France,3.5,Forastero (Nacional),Peru
Bonnat,Libanio,0.75,France,3.75, ,Brazil
Bonnat,Haiti,0.75,France,4.0, ,Haiti
Bonnat,"Madagascar, 100% criollo",0.75,France,4.0,Criollo,Madagascar
Bonnat,Juliana,0.75,France,3.5, ,Brazil
Bonnat,Jamaique,0.75,France,3.25,Trinitario,Jamaica
Bonnat,Ivory Coast,0.75,France,3.0, ,Ivory Coast
Bonnat,"Porcelana, Apotequil",0.75,France,2.75,Criollo,Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",0.75,France,3.0,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",0.75,France,3.0,Criollo,Mexico
Bonnat,"Porcelana, Venezuela",0.75,France,4.0,Criollo (Porcelana),Venezuela
Bonnat,Equateur,0.75,France,2.5,Forastero (Arriba),Ecuador
Bonnat,Trinite,0.75,France,3.75,Trinitario,Carribean
Bonnat,"Ocumare, Puerto Cabello",0.75,France,4.0, ,Venezuela
Bonnat,"Maracaibo, El Rosario",0.75,France,4.0,Criollo,Venezuela
Bonnat,Madagascar,0.75,France,4.0,Trinitario,Madagascar
Bonnat,One Hundred,1.0,France,1.5, , 
Bonnat,Ceylan,0.75,France,3.0, ,Sri Lanka
Bonnat,Chuao,0.75,France,4.0,Trinitario,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",0.77,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",1.0,Ecuador,1.5,Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,0.7,U.S.A.,2.75,Trinitario,Belize
Bowler Man,Conacado,0.7,U.S.A.,2.75, ,Dominican Republic
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",0.7,U.S.A.,3.5,Criollo,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",0.7,U.S.A.,3.75, ,Nicaragua
Brasstown aka It's Chocolate,Conacado,0.68,U.S.A.,3.75, ,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,0.7,U.S.A.,3.75,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,0.7,U.S.A.,4.0,Trinitario,Venezuela
Brasstown aka It's Chocolate,Cooproagro,0.72,U.S.A.,3.0,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",0.7,U.S.A.,3.25, ,Ecuador
Brasstown aka It's Chocolate,Ghana,0.75,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",0.85,U.S.A.,3.5,Trinitario,Venezuela
Brazen,Elvesia P.,0.6,U.S.A.,3.0, ,Dominican Republic
Brazen,Elvesia P.,0.8,U.S.A.,3.25, ,Dominican Republic
Brazen,"Alta Verapaz, 2014",0.7,U.S.A.,3.5, ,Guatemala
Brazen,Ambolikapiky P.,0.8,U.S.A.,2.75, ,Madagascar
Brazen,Maya Mountain,0.8,U.S.A.,3.25,Trinitario,Belize
Brazen,Ambolikapkly P.,0.6,U.S.A.,3.25, ,Madagascar
Breeze Mill,Jamaica,0.7,U.S.A.,3.0,Trinitario,Jamaica
Bright,Somia Plantation,0.72,Australia,3.0,Trinitario,Madagascar
Bright,Marabel Farms,0.7,Australia,3.5, ,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",0.72,Australia,3.5, ,Ecuador
Bright,Gran Couva,0.68,Australia,2.75,Trinitario,Trinidad
Britarev,Ecuador,0.7,Russia,3.25, ,Ecuador
Bronx Grrl Chocolate,Dominican Republic,0.68,U.S.A.,2.75, ,Dominican Republic
Burnt Fork Bend,Trinidad,0.72,U.S.A.,3.25,Trinitario,Trinidad
Burnt Fork Bend,Mindo,0.72,U.S.A.,3.5, ,Ecuador
Burnt Fork Bend,Belize,0.72,U.S.A.,3.25,Trinitario,Belize
Burnt Fork Bend,Blend,0.72,U.S.A.,3.25,Blend, 
Burnt Fork Bend,"Ecuador, Bob Bar",0.6,U.S.A.,2.5, ,Ecuador
Cacao Arabuco,Puerto Rico,0.7,Puerto Rico,2.5, ,Puerto Rico
Cacao Atlanta,Tumbes,0.75,U.S.A.,2.5,Criollo,Peru
Cacao Atlanta,"Dominican Republic, ""Love Bar""",0.75,U.S.A.,2.5, ,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,0.75,U.S.A.,2.75, ,Dominican Republic
Cacao Atlanta,Patanemo,0.75,U.S.A.,2.25, ,Venezuela
Cacao Barry,Grand 'Anse,0.65,France,3.5,"Trinitario, Criollo",Haiti
Cacao Barry,Santo Domingo,0.7,France,3.0, ,Dominican Republic
Cacao Barry,Tanzania,0.75,France,2.0, ,Tanzania
Cacao Barry,Venezuela,0.72,France,2.0, ,Venezuela
Cacao Barry,Mexico,0.66,France,3.0, ,Mexico
Cacao de Origen,Chuao,0.77,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Rio Caribe,0.75,Venezuela,3.25,Trinitario,Venezuela
Cacao de Origen,Agua Fria; Sucre region,0.75,Venezuela,2.5, ,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,0.74,Venezuela,3.25, ,Venezuela
Cacao de Origen,"Chuao, Aragua region",0.75,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",0.7,Venezuela,3.75,Trinitario,Venezuela
Cacao de Origin,Hacienda la Trinidad,0.74,Venezuela,3.25, ,Venezuela
Cacao Hunters,Macondo,0.71,Colombia,3.75, ,Colombia
Cacao Hunters,Perla Negra,0.74,Colombia,3.75, ,Colombia
Cacao Hunters,Arhuacos,0.72,Colombia,3.75, ,Colombia
Cacao Hunters,Sierra Nevada,0.64,Colombia,3.5, ,Colombia
Cacao Hunters,Tumaco,0.7,Colombia,3.5, ,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",0.69,Colombia,2.75, ,Colombia
Cacao Hunters,Arauca,0.7,Colombia,3.25, ,Colombia
Cacao Market,"Jutiapa, lot 050916D",0.7,U.S.A.,3.5,Trinitario,Honduras
Cacao Prieto,"Criollo, Dominican Republic",0.72,U.S.A.,3.75,Criollo,Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",0.72,U.S.A.,3.0, ,Dominican Republic
Cacao Prieto,Dominican Republic,0.66,U.S.A.,3.75, ,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",0.65,U.S.A.,3.25, ,Dominican Republic
Cacao Sampaka,"Mahali, Kasai",0.7,Spain,3.5,Criollo,Congo
Cacao Sampaka,Madagascar,0.71,Spain,3.5,Trinitario,Madagascar
Cacao Sampaka,Ecuador,0.71,Spain,3.75, ,Ecuador
Cacao Sampaka,Papua,0.71,Spain,4.0, ,Papua New Guinea
Cacao Sampaka,Grenada,0.71,Spain,3.25,Trinitario,Grenada
Cacao Sampaka,Venezuela,0.71,Spain,3.5, ,Venezuela
Cacao Sampaka,Venezuela,0.77,Spain,3.5, ,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",0.7,Spain,4.0,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",0.7,Spain,4.0,Criollo,Mexico
Cacao Store,Madagascar,0.7,Japan,3.0,Trinitario,Madagascar
Cacao Store,Peru,0.7,Japan,3.25, ,Peru
Cacao Store,Vietnam,0.7,Japan,3.5,Trinitario,Vietnam
Cacaosuyo (Theobroma Inversiones),Piura,0.7,Peru,3.25, ,Peru
Cacaoyere (Ecuatoriana),Amazonia,0.63,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,0.71,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Bolivar,0.82,Ecuador,2.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,0.91,Ecuador,1.5,Forastero (Arriba),Ecuador
Callebaut,Grenade,0.6,Belgium,2.75,Trinitario,Grenada
Callebaut,Baking,0.7,Belgium,1.0, ,Ecuador
C-Amaro,Cuba,0.75,Italy,2.5, ,Cuba
C-Amaro,Dominican Republic,0.72,Italy,3.0, ,Dominican Republic
C-Amaro,"Lago di Como, Blu",0.7,Italy,3.5,Blend, 
C-Amaro,Ecuador,1.0,Italy,3.5, ,Ecuador
C-Amaro,Venezuela,0.8,Italy,3.0, ,Venezuela
C-Amaro,Sao Tome,0.78,Italy,2.25,Forastero,Sao Tome
C-Amaro,Trinidad,0.7,Italy,2.5,Trinitario,Trinidad
Cao,Porcelana,0.75,U.S.A.,2.5,Criollo,Venezuela
Cao,Tanzania,0.73,U.S.A.,2.75, ,Tanzania
Cao,"Porcelana, Batch 5163",0.7,U.S.A.,3.0,Criollo,Venezuela
Cao,Bolivia,0.75,U.S.A.,3.0, ,Bolivia
Cao,Brazil,0.7,U.S.A.,3.25,Trinitario,Brazil
Caoni (Tulicorp),Esmeraldas,0.77,Ecuador,2.0,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,0.77,Ecuador,2.5,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,0.77,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,0.55,Ecuador,3.0,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,0.55,Ecuador,3.25,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Esmeraldas,0.55,Ecuador,3.5,Forastero (Arriba),Ecuador
Captain Pembleton,"Saidor Estate, Madang P.",0.7,New Zealand,3.5,Trinitario,Papua New Guinea
Captain Pembleton,Kulili Estate,0.7,New Zealand,3.75, ,Papua New Guinea
Caribeans,"Antigua, Special Reserve",0.72,Costa Rica,3.5, ,Guatemala
